trait_id,entity_type,biology_score,physics_score,materials_score,chemistry_score,growth_score,score,passed,source,location,temperature_max,simulated_at
T_1590401980736,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,PDB,,0.0,2026-05-09T12:27:30.489686
T_1590401837504,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,PDB,,0.0,2026-05-09T12:27:30.496405
T_1590410078272,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,PDB,,0.0,2026-05-09T12:27:30.505129
T_1590427643136,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,PDB,,0.0,2026-05-09T12:27:30.505129
T_1590375614208,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,PDB,,0.0,2026-05-09T12:27:30.505129
T_1590402905216,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,PDB,,0.0,2026-05-09T12:27:30.523178
T_1590428058368,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,PDB,,0.0,2026-05-09T12:27:30.523178
T_1590428058944,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,PDB,,0.0,2026-05-09T12:27:30.523178
T_1590428058624,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,PDB,,0.0,2026-05-09T12:27:30.539964
T_1590410263232,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,PDB,,0.0,2026-05-09T12:27:30.539964
T_1590428059200,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,ChEMBL,,0.0,2026-05-09T12:27:30.550040
T_1590428059776,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,ChEMBL,,0.0,2026-05-09T12:27:30.552959
T_1590428059712,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,ChEMBL,,0.0,2026-05-09T12:27:30.560718
T_1590428060288,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,ChEMBL,,0.0,2026-05-09T12:27:30.565807
T_1590428060224,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,ChEMBL,,0.0,2026-05-09T12:27:30.569706
T_1590428060736,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,ChEMBL,,0.0,2026-05-09T12:27:30.569706
T_1590428060672,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,ChEMBL,,0.0,2026-05-09T12:27:30.581489
T_1590428061440,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,ChEMBL,,0.0,2026-05-09T12:27:30.590125
T_1590428061120,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,ChEMBL,,0.0,2026-05-09T12:27:30.590125
T_1590428061888,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,ChEMBL,,0.0,2026-05-09T12:27:30.597199
T_1590428061568,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,AFLOW,,0.0,2026-05-09T12:27:30.605780
T_1590428062464,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,AFLOW,,0.0,2026-05-09T12:27:30.605780
T_1590428062592,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,AFLOW,,0.0,2026-05-09T12:27:30.615365
T_1590428062720,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,AFLOW,,0.0,2026-05-09T12:27:30.622819
T_1590428062848,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,AFLOW,,0.0,2026-05-09T12:27:30.622819
T_1590428062976,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,AFLOW,,0.0,2026-05-09T12:27:30.629394
T_1590428063104,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,AFLOW,,0.0,2026-05-09T12:27:30.636284
T_1590428063232,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,AFLOW,,0.0,2026-05-09T12:27:30.639450
T_1590428063360,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,AFLOW,,0.0,2026-05-09T12:27:30.645526
T_1590428063488,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,AFLOW,,0.0,2026-05-09T12:27:30.652881
